pt,a,b,c,d,ROR,se_ln_ror,ROR_lcl,ROR_ucl,PRR,se_ln_prr,PRR_lcl,PRR_ucl,chisq,n,IC,IC025,sig_ROR,sig_PRR,sig_BCPNN,signal,sens_trio,drug
OFF LABEL USE,863,7020,841617,16835040,2.45908384601401,0.0360894206500951,2.29114936045886,2.63932743368418,2.2993490548038,0.0321407048858278,2.1589678961636,2.44885812578404,664.677561145885,17684540,1.20039013480045,1.19960541055536,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
NAUSEA,775,7108,638816,17037841,2.90799100817344,0.0378501416097222,2.7000659267082,3.13192786145309,2.72041102195824,0.0341317469036453,2.54437427663326,2.90862716085326,873.78203615747,17684540,1.44271868562905,1.44193396138396,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
VOMITING,570,7313,373862,17302795,3.60731626263988,0.043518517088763,3.31238271809583,3.92851059982185,3.41878774942096,0.0403751027085107,3.15866928857665,3.70032713391712,995.017215213798,17684540,1.77193019568757,1.77114547144247,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
HEADACHE,496,7387,518756,17157901,2.22082635291484,0.0464056888266588,2.02774473515178,2.43229317985722,2.14401170480552,0.0434872957410789,1.96883816118191,2.33477097354899,311.632747367299,17684540,1.09957726604189,1.09879254179679,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DIZZINESS,490,7393,398276,17278381,2.87537361572813,0.046675990730443,2.62399424344715,3.1508352012099,2.75880212369378,0.0437768810930914,2.53196045335347,3.00596683791679,561.410386270186,17684540,1.46291135613859,1.46212663189349,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
PRODUCT ADHESION ISSUE,277,7606,33138,17643519,19.3902033587081,0.0614151200336018,17.1911432134551,21.8705633257585,18.7439917222293,0.0592737151659685,16.6881148071473,21.0531404980823,4623.02820429179,17684540,4.21699021030547,4.21620548606037,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
VISION BLURRED,275,7608,108192,17568465,5.86949664333742,0.0614581481412551,5.20339298072352,6.62087045390889,5.69962329855526,0.0593185859069164,5.07403143418288,6.40234617518987,1069.50317360101,17684540,2.50784744808062,2.50706272383552,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
PNEUMONIA,272,7611,272961,17403696,2.27859988002895,0.0617379976490719,2.01890380079369,2.57170124263811,2.23448226397315,0.0596089111234728,1.98809339438874,2.51140665831028,188.231171930216,17684540,1.15914692765994,1.15836220341484,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
CONFUSIONAL STATE,256,7627,125334,17551323,4.70031730964175,0.0636034496499628,4.14941457411276,5.32436140489575,4.58014970450814,0.0615411801238101,4.05970768041224,5.1673107935633,720.065049290145,17684540,2.19309422815416,2.19230950390907,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
HYPERSENSITIVITY,254,7629,155900,17520757,3.74173350549299,0.0638322653186126,3.30170092717365,4.24041121074941,3.65339146434175,0.0617779120096111,3.23675471595495,4.12365791140503,493.043233855901,17684540,1.86753098479771,1.86674626055261,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
PRODUCT USE IN UNAPPROVED INDICATION,251,7632,240825,17435832,2.38109359402003,0.064181778914747,2.0996351441663,2.70028186527353,2.3371186489358,0.0621393941707115,2.0691245838122,2.63982344124487,194.465013931267,17684540,1.2238713450003,1.2230866207552,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
PRODUCT QUALITY ISSUE,205,7678,111758,17564899,4.1963604869527,0.0708328727928939,3.65240249260874,4.82133099298163,4.11323808433627,0.0689933682019508,3.59298585645533,4.70882107928071,485.240553011892,17684540,2.03827387413249,2.03748914988739,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DRUG INEFFECTIVE FOR UNAPPROVED INDICATION,204,7679,52895,17623762,8.85134966713892,0.0710714302249465,7.70038208388827,10.1743511005625,8.64816872941263,0.0692383877120251,7.55070058017859,9.9051500689518,1378.65364353368,17684540,3.10748456903939,3.10669984479429,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DRY MOUTH,203,7680,65101,17611556,7.15063954310738,0.0712161093837926,6.21905661044814,8.22176884345267,6.99225062680003,0.0693870109717788,6.10314334551651,8.01088325475792,1043.07025652882,17684540,2.80190847320714,2.80112374896205,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DRUG INTOLERANCE,201,7682,89875,17586782,5.11999139943491,0.0715295899429702,4.4502254729086,5.89055815033887,5.01494024235177,0.069708960061454,4.37449875884942,5.74914453535564,647.941809361688,17684540,2.32365284646139,2.32286812221629,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
SWELLING FACE,201,7682,50893,17625764,9.06174117146186,0.0715891375463606,7.87542045407368,10.4267643280038,8.85618364571483,0.0697700624611156,7.72426451345451,10.153975000469,1399.32122476858,17684540,3.14164172508316,3.14085700083807,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DYSPHONIA,199,7684,49009,17627648,9.31502980430806,0.0719425279269347,8.0899443235568,10.7256337973162,9.10512355908958,0.0701328611545472,7.93574212948552,10.4468206846412,1433.95910924996,17684540,3.18147565793284,3.18069093368774,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,193,7690,199122,17477535,2.20288539706215,0.0729140962026857,1.90952862155729,2.54130994309587,2.1734350759112,0.0711298626957147,1.89060024644262,2.49858215034591,123.546536053106,17684540,1.11922257256738,1.11843784832228,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
CONSTIPATION,190,7693,184162,17492495,2.34590058852002,0.0734753929217784,2.03126266940471,2.70927519818566,2.31346102086572,0.0717054814268046,2.01013510668948,2.6625582913576,143.030617920981,17684540,1.20920836384452,1.20842363959942,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
MYDRIASIS,186,7697,9151,17667506,46.6549952753058,0.0749373011925343,40.2819263657459,54.0363577544736,45.5777620999656,0.0732032098384993,39.4858205103668,52.6095791144993,7952.19507535045,17684540,5.48187174135179,5.48108701710669,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
SOMNOLENCE,185,7698,160496,17516161,2.62282030359691,0.0744419038684051,2.26674313502814,3.03483276894309,2.58473559521616,0.0726961089766781,2.24148556539682,2.98054923944814,181.189461878323,17684540,1.36899793891963,1.36821321467453,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
ABDOMINAL PAIN,181,7702,185751,17490906,2.21287155314978,0.0752338953414388,1.90948311030858,2.56446390350537,2.18502304989973,0.0735073710563627,1.89184384028227,2.52363626792833,117.447407021068,17684540,1.12688662263926,1.12610189839416,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
ANGIOEDEMA,179,7704,35805,17640852,11.4475522701932,0.0757916923248103,9.86727982011276,13.2809097712715,11.2103187478839,0.0740784004216131,9.695297809802,12.9620821241924,1659.71110733919,17684540,3.48020412947924,3.47941940523414,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
TOXICITY TO VARIOUS AGENTS,178,7705,156879,17519778,2.57994914666974,0.075856409084795,2.2235191118903,2.99351490338362,2.5442735221477,0.0741447235992942,2.20014110734848,2.94223299309347,168.145938744444,17684540,1.34626100946164,1.34547628521654,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
SWOLLEN TONGUE,174,7709,23093,17653564,17.2545343495016,0.0769428668484611,14.8391202072076,20.0631136793084,16.8957510212238,0.0752563470566422,14.5786733480697,19.5810960130321,2586.10158412019,17684540,4.06840220974297,4.06761748549788,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
HALLUCINATION,162,7721,58803,17617854,6.28629829784951,0.0794947740659846,5.3793235625415,7.34619247756781,6.1776619507416,0.0778648419462273,5.30327622134248,7.19621335657673,703.418705924822,17684540,2.62373505684481,2.62295033259972,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
URINARY TRACT INFECTION,154,7729,144946,17531711,2.4099913379924,0.081423863196803,2.05449973721923,2.82699391193869,2.38244615645608,0.0798341642695986,2.03735580835623,2.78598841946605,124.425943993271,17684540,1.25155484484623,1.25077012060114,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
ACUTE KIDNEY INJURY,151,7732,150160,17526497,2.27942845358812,0.0822104970149823,1.94020213149726,2.67796534736177,2.25492081734661,0.0806366187875634,1.92527167038665,2.641013198663,106.254880601139,17684540,1.17226997102697,1.17148524678188,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
HYPOTENSION,148,7735,159792,17516865,2.09750375876487,0.0830202051454791,1.7825204560652,2.46814672059608,2.07689858861427,0.0814622799975533,1.77040732815429,2.436449329367,83.3181530757517,17684540,1.0537383961775,1.0529536719324,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DEHYDRATION,142,7741,101844,17574813,3.16553078504056,0.0847426199482719,2.68109477978953,3.7374975426367,3.12652211175935,0.0832175500117772,2.65598303015625,3.68042280554219,206.287704435991,17684540,1.64319182142094,1.64240709717584,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
SEIZURE,142,7741,113114,17563543,2.84830862411187,0.0847368477823353,2.41244590512401,3.36291976576901,2.81501421530508,0.0832116718365956,2.39138437492511,3.31368939073956,167.037208897172,17684540,1.49197546063948,1.49119073639439,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
PLATELET COUNT DECREASED,140,7743,87199,17589458,3.64720126062274,0.0853436050633329,3.08541641757569,4.31127447164489,3.60018766472179,0.0838296685806772,3.05469521831584,4.24309146899472,263.794505684024,17684540,1.84640092251265,1.84561619826755,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
WHITE BLOOD CELL COUNT INCREASED,130,7753,28217,17648440,10.4874294659169,0.0886385148372487,8.81492102942693,12.4772730731693,10.3309705250861,0.0871827706084589,8.70822516604237,12.2561084440475,1092.33613271715,17684540,3.36291567052434,3.36213094627924,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
TACHYCARDIA,128,7755,68198,17608459,4.26165098329665,0.0891973600652491,3.57809241789719,5.07579653688955,4.20869001337886,0.0877510760997863,3.54365729992536,4.99852839299332,313.75119427993,17684540,2.07130924866401,2.07052452441891,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
THROMBOCYTOPENIA,127,7756,87892,17588765,3.27681497683863,0.0895230844067037,2.74946586400942,3.90530994873889,3.24013408097938,0.0880822429203515,2.72637671170749,3.85070368949457,197.391586616336,17684540,1.69461362411287,1.69382889986778,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
DRUG INTERACTION,122,7761,122274,17554383,2.25680272254007,0.0912896818151972,1.88706235568587,2.69898793387413,2.237352014415,0.0898776269995823,1.8759831736076,2.66833098869463,83.9837338970891,17684540,1.16099675075546,1.16021202651037,TRUE,TRUE,TRUE,TRUE,TRUE,scopolamine
